default_riesgo,ingreso_anual,edad,n_transacciones,segmento_cliente,region,leak_score,leak_flag
0,65899.04576069933,46.13770855789909,19,Bronze,Sur,0.16462833835839774,NO
1,59255.089243650466,43.75455857627253,21,Silver,Norte,0.5899903037422194,YES
0,60253.53984800716,41.675701058009906,13,Bronze,Centro,0.04784997317958899,NO
0,29510.664331991986,51.62259597505667,15,Bronze,Norte,0.05389630726557222,NO
0,68179.159780796,34.60408779262868,19,Silver,Norte,-0.08607379884731033,NO
0,53918.75796850784,48.94910556026825,22,Gold,Norte,0.13542109252450832,NO
0,44460.84291130695,23.679851149735825,20,Silver,Centro,-0.028770705554947658,NO
1,52150.82701013377,30.950521670619338,14,Gold,Norte,0.661624701908699,YES
0,23356.471506525202,21.929586050681838,18,Gold,Sur,0.21116132184179728,NO
0,56129.792172210065,37.25154699330208,28,Platinum,Centro,0.052276674236671816,NO
0,34559.42737726893,39.53738782733657,14,Gold,Centro,0.09252905496854981,NO
1,29709.945712346984,41.1410149222652,18,Silver,Sur,0.8354892931521838,YES
0,27164.612206731632,40.61883352887135,21,Bronze,Centro,-0.0650473999459217,NO
0,66690.32562484888,30.724466691882718,25,Bronze,Norte,0.12498210970536792,NO
0,40561.04909460817,38.097591555867844,16,Silver,Centro,-0.050189411499767,NO
0,73005.91564874748,25.025533313942514,21,Platinum,Sur,-0.054462338933829735,NO
0,41962.978054215535,53.6322897513225,16,Silver,Centro,-0.02719999723081362,NO
0,24389.630636105798,36.96373927101999,19,Silver,Sur,-0.06220648349449548,NO
0,33252.13340077011,35.11113880956309,23,Silver,Centro,0.08221564326571629,NO
0,68537.17430010409,55.88940328444083,21,Silver,Sur,0.026721065514505572,NO
0,47661.52733094999,27.57753466450771,20,Silver,Centro,-0.04912244146171129,NO
0,41775.69055264098,28.74412885968031,16,Silver,Norte,0.06745050331548218,NO
0,52400.273387791814,29.03779675131435,26,Bronze,Sur,-0.027518243738634603,NO
0,57526.741042513175,39.32128618300518,25,Silver,Sur,-0.032807037036467666,NO
0,66760.9822385369,44.31631629637597,18,Gold,Centro,0.0048683884901543645,NO
0,71727.4884483939,47.39675468117834,19,Gold,Centro,0.04634603556662172,NO
0,44603.470313163714,65.7199531749497,19,Bronze,Centro,0.038984764937741966,NO
0,30109.284708769424,18.0,20,Gold,Norte,-0.03632491822528305,NO
0,43798.02258315086,46.08735589124417,26,Bronze,Centro,0.08471112074394023,NO
0,53904.20759874329,34.42869427427769,21,Bronze,Sur,-0.022239415107965607,NO
0,35543.61610684084,34.135848511112265,23,Silver,Centro,-0.0654984488608719,NO
0,35642.73627657436,33.80227871746122,27,Bronze,Norte,-0.14680216487673514,NO
0,55156.81822324828,30.912303291920267,16,Bronze,Centro,0.09831784809990213,NO
1,49270.214726443235,56.845248346034516,26,Bronze,Centro,0.7012390076194007,YES
1,50491.9549311738,48.422973270139025,15,Silver,Sur,0.7210872358510514,YES
0,38622.569979498956,40.23195978557375,16,Bronze,Centro,0.10458029156995155,NO
0,46543.98928691349,53.51015752487,19,Silver,Norte,-0.04774062315978161,NO
0,36136.502835975436,24.874710347011245,19,Silver,Centro,-0.13743992484741285,NO
0,63352.9761668718,26.692948686690738,24,Silver,Centro,0.0069780702215218515,NO
0,65528.74002085629,18.220322678053122,23,Gold,Sur,0.030796155208029544,NO
0,22307.18206642859,33.00585459876712,30,Silver,Centro,-0.02628490661603728,NO
0,36057.33709711385,41.61698526704753,26,Bronze,Sur,0.1473737578076169,NO
0,27552.061173648814,41.02858577932334,23,Bronze,Sur,-0.24861665677213565,NO
1,40249.64098389653,41.49341911059881,15,Silver,Centro,0.8120056637899783,YES
0,48748.43045314459,25.889431689339183,13,Silver,Sur,0.07911536503642258,NO
0,28255.321704522048,48.03154742614022,22,Bronze,Sur,0.04567707777004593,NO
0,36172.1028031203,42.39627518238998,22,Bronze,Centro,-0.33359015494690963,NO
0,34940.63941877752,47.330542814659985,21,Gold,Centro,0.12838887832702683,NO
0,53109.00994098416,21.07237822409948,29,Silver,Norte,-0.10264341106358853,NO
0,51040.16505554376,43.1149085879779,34,Silver,Norte,-0.05076919783833868,NO
1,39173.9366999412,28.12234760082473,17,Gold,Sur,0.682940733520993,YES
0,52652.31308209097,36.026767474486384,22,Gold,Sur,0.04074180346519754,NO
1,41799.79873119102,45.34364898636383,20,Silver,Centro,0.763942804219255,YES
1,45925.1733451092,40.91093606255913,23,Silver,Norte,0.7892840554319296,YES
0,75101.78135447805,31.484600202206813,18,Platinum,Norte,0.08158535100785162,NO
1,70106.91577685522,40.06273156184418,15,Silver,Centro,0.7252927204213125,YES
0,30506.281446086035,24.68464684756357,18,Bronze,Centro,0.04159226590575908,NO
0,62445.98626818762,51.50267395898296,24,Bronze,Centro,-0.10907537158222465,NO
0,62170.948317373884,37.94715980503749,18,Silver,Centro,-0.07510268068190223,NO
0,32776.050668710726,51.18549944255326,24,Gold,Norte,0.08954602236748323,NO
0,62281.66465632291,34.73468312903957,16,Bronze,Centro,0.08372094867286813,NO
0,73068.97877618829,34.76424011593417,15,Bronze,Centro,0.0723799416444421,NO
0,33161.82790633379,32.35813213362154,16,Gold,Norte,-0.051441676165652754,NO
0,36237.457684786044,48.76173931693076,19,Gold,Centro,0.0910492131943696,NO
0,65264.922002652536,32.905688426715244,19,Bronze,Norte,-0.1161244452480358,NO
0,54072.42966238472,46.445954324151764,19,Bronze,Norte,0.1077359809862273,NO
0,58272.144128592845,36.1754760233071,21,Silver,Centro,-0.026087080124589018,NO
0,55108.83824600745,20.240367001083804,15,Bronze,Centro,0.16841704063406326,NO
0,55860.43881392216,34.29685932213534,15,Gold,Sur,-0.1521442092065485,NO
1,30102.918075333757,28.208917856371517,18,Bronze,Sur,0.8763404045918521,YES
0,65709.76559932172,40.33902723682338,10,Bronze,Norte,-0.036146432916346186,NO
0,67543.8498864166,28.095922643255097,23,Bronze,Norte,-0.03794792560117442,NO
0,46559.13883897958,49.259751007146164,24,Bronze,Sur,0.019483881898559693,NO
0,49347.84575279206,39.08924139646973,21,Bronze,Norte,-0.06970789128006968,NO
